,Star_name,Distance,Mass,Radius
112,TVLM 513-46546,35.1,0.07159410000000001,1.05
113,2MASS 1503+2525,20.7,0.042001872,0.10790115
114,CFBDS J150411+102717,71,0.042001872,1.03
115,2MASSW J1506544+132106 [de],46,0.065866572,0.10584589
116,2MASS 1507−1627,23.9,0.057275280000000005,0.98
117,TVLM 868-110639,53,0.075412452,0.10070773999999999
118,2MASSW J1515008+484742 [de],34,0.054411516,0.94
119,2MASSI J1526140+204341 [de],67,0.051547752,0.09659721999999998
120,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.94
121,2MASS J15462718-3325111 [de],37,0.042001872,0.09659721999999998
122,2MASSW J1552591+294849 [de],68,0.028637640000000002,0.94
123,2MASSW J1555157-095605 [de],44,0.067775748,0.09659721999999998
124,2MASS J16150413+1340079 [de],48,0.040092696000000004,1.03
125,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.10584589
126,2MASS J16262034+3925190 [de],110,0.067775748,2.01
127,2MASSW J1632291+190441 [de],50,0.046774812,0.20655362999999996
128,WISEPA J164715.59+563208.2,28,0.039138108,0.94
129,LSPM J1658+7027 [de],60,0.069684924,0.09659721999999998
130,2MASSI J1726000+153819,114,0.022910112,0.98
131,SDSSp J175032.96+175903.9,90,0.044865636,0.10070773999999999
132,2MASS J18283572-4849046,39,0.04295646,0.99
133,LSR J1835+3259,18.5,0.073503276,0.10173536999999999
134,2MASSW J1841086+311727,138,0.063957396,1.15
135,2MASS J18432213+4040209,46,0.091640448,0.11817744999999999
136,2MASS J20004841-7523070,105,0.0238647,0.96
137,SDSS J204749.61-071818.3,65,0.043911048,0.09865247999999999
138,2MASSI J2057540-025230,47,0.06682116,1.00
139,2MASSI J2104149-103736,62,0.065866572,0.102763
140,PSO J318.5−22,80,0.0062048220000000005,1.00
141,HB 2124-4228,113,0.089731272,0.102763
142,2MASS J21392676+0220226,32.1,0.043911048,1.07
143,2MASS J21481628+4003593,26.3,0.05250234,0.10995641
144,2MASSW J2206450-421721,93,0.021000936,0.98
145,2MASSW J2208136+292121,154,0.025773876,0.10070773999999999
146,2MASSW J2224438-015852,38,0.058229868000000004,0.94
147,2MASS J22282889-4310262,35,0.040092696000000004,0.09659721999999998
148,2MASS J22373255+3922398,64,0.069684924,0.95
149,2MASSW J2244316+204343,56,0.011455056,0.09762484999999999
150,2MASS J23224684-3133231,56,0.022910112,0.96
151,2MASS J23225299-6151275,148,0.016227996,0.09865247999999999
152,2MASS J23515044-2537367,67,0.084003744,0.94
153,2MASSI J2356547-155310,74,0.07636704,0.09659721999999998
154,WISE 0410+1502,20,0.005727528,0.98
155,WISE 0458+6434A,35.9,0.014318820000000001,0.10070773999999999
156,WISE 0458+6434B,35.9,0.00954588,1.41
157,WISE 1405+5534,25.3,0.028637640000000002,0.14489582999999998
